question,question_slug,cue,correct_response,feat_type,proposition_id
Is it long?,is-it-long,alligator,yes,visual,alligator:visual:yes:2
Does it have scales?,does-it-have-scales,alligator,yes,visual,alligator:visual:yes:3
Does it have a tail?,does-it-have-a-tail,alligator,yes,visual,alligator:visual:yes:4
Does it have jaws?,does-it-have-jaws,alligator,yes,visual,alligator:visual:yes:5
Does it have a long tongue?,does-it-have-a-long-tongue,alligator,yes,visual,alligator:visual:yes:1
Is it an animal?,is-it-an-animal,alligator,yes,nonvisual,alligator:nonvisual:yes:1
Is it a reptile?,is-it-a-reptile,alligator,yes,nonvisual,alligator:nonvisual:yes:2
Does it live in swamps?,does-it-live-in-swamps,alligator,yes,nonvisual,alligator:nonvisual:yes:3
Does it live in water?,does-it-live-in-water,alligator,yes,nonvisual,alligator:nonvisual:yes:4
Does it eat people?,does-it-eat-people,alligator,yes,nonvisual,alligator:nonvisual:yes:5
Is it found in summer?,is-it-found-in-summer,alligator,yes,nonvisual,alligator:nonvisual:yes:6
Is it grey?,is-it-grey,alligator,no,visual,alligator:visual:no:2
Is it round?,is-it-round,alligator,no,visual,alligator:visual:no:3
Is it small?,is-it-small,alligator,no,visual,alligator:visual:no:4
Is it made of metal?,is-it-made-of-metal,alligator,no,visual,alligator:visual:no:5
Is it a mammal?,is-it-a-mammal,alligator,no,nonvisual,alligator:nonvisual:no:1
Does it live in the desert?,does-it-live-in-the-desert,alligator,no,nonvisual,alligator:nonvisual:no:2
Is it used for freight?,is-it-used-for-freight,alligator,no,nonvisual,alligator:nonvisual:no:3
Is it a pet?,is-it-a-pet,alligator,no,nonvisual,alligator:nonvisual:no:5
Is it round?,is-it-round,apple,yes,visual,apple:visual:yes:4
Is it red?,is-it-red,apple,yes,visual,apple:visual:yes:1
Does it have seeds?,does-it-have-seeds,apple,yes,visual,apple:visual:yes:3
Does it have a core?,does-it-have-a-core,apple,yes,visual,apple:visual:yes:5
Is it a fruit?,is-it-a-fruit,apple,yes,nonvisual,apple:nonvisual:yes:1
Does it grow on trees?,does-it-grow-on-trees,apple,yes,nonvisual,apple:nonvisual:yes:2
Is it eaten in pies?,is-it-eaten-in-pies,apple,yes,nonvisual,apple:nonvisual:yes:3
Is it nutritious?,is-it-nutritious,apple,yes,nonvisual,apple:nonvisual:yes:4
Is it used for cider?,is-it-used-for-cider,apple,yes,nonvisual,apple:nonvisual:yes:5
Is it black?,is-it-black,apple,no,visual,apple:visual:no:1
Does it have pockets?,does-it-have-pockets,apple,no,visual,apple:visual:no:2
Does it have a beak?,does-it-have-a-beak,apple,no,visual,apple:visual:no:3
Does it have a hood?,does-it-have-a-hood,apple,no,visual,apple:visual:no:4
Does it have eyes?,does-it-have-eyes,apple,no,visual,apple:visual:no:5
Is it an animal?,is-it-an-animal,apple,no,nonvisual,apple:nonvisual:no:1
Does it live in Africa?,does-it-live-in-africa,apple,no,nonvisual,apple:nonvisual:no:2
Is it fast?,is-it-fast,apple,no,nonvisual,apple:nonvisual:no:3
Is it timid?,is-it-timid,apple,no,nonvisual,apple:nonvisual:no:4
Is it used in experiments?,is-it-used-in-experiments,apple,no,nonvisual,apple:nonvisual:no:5
Is it made of plastic?,is-it-made-of-plastic,bottle,yes,visual,bottle:visual:yes:2
Is it made of glass?,is-it-made-of-glass,bottle,yes,visual,bottle:visual:yes:1
Does it have a neck?,does-it-have-a-neck,bottle,yes,visual,bottle:visual:yes:4
Is it a container?,is-it-a-container,bottle,yes,nonvisual,bottle:nonvisual:yes:3
Is it used for holding things?,is-it-used-for-holding-things,bottle,yes,nonvisual,bottle:nonvisual:yes:1
Is it used for holding liquids?,is-it-used-for-holding-liquids,bottle,yes,nonvisual,bottle:nonvisual:yes:2
Is it breakable?,is-it-breakable,bottle,yes,nonvisual,bottle:nonvisual:yes:4
