subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,word_file,correct_response,response,rt,is_correct
PVW211,211,2015_Dec_03_1530,LL-ELAINE,0,practice,0,dog:nonvisual:no:1,nonvisual,Does it hop?,dog,dog_2.wav,mask,prompt,,,no,no,213.6668202,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,0,practice,1,strawberry:visual:no:1,visual,Does it have four legs?,strawberry,strawberry_3.wav,nomask,prompt,,,no,no,421.279457514,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,0,practice,2,camel:visual:yes:5,visual,Is it beige?,camel,camel_3.wav,nomask,prompt,,,yes,yes,261.552929529,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,0,practice,3,,,----------,strawberry,strawberry_4.wav,nomask,word,rabbit,rabbit_1.wav,no,timeout,1250.0,0
PVW211,211,2015_Dec_03_1530,LL-ELAINE,0,practice,4,,,----------,elephant,elephant_2.wav,mask,word,elephant,elephant_1.wav,yes,yes,969.06457853,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,0,practice,5,camel:visual:yes:2,visual,Is it brown?,camel,camel_3.wav,nomask,prompt,,,yes,timeout,1250.0,0
PVW211,211,2015_Dec_03_1530,LL-ELAINE,0,practice,6,dog:visual:no:3,visual,Does it have a caboose?,dog,dog_3.wav,mask,prompt,,,no,no,1249.11070988,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,0,practice,7,,,----------,rabbit,rabbit_4.wav,mask,word,rabbit,rabbit_1.wav,yes,yes,673.189034569,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,9,,,----------,alligator,alligator_4.wav,mask,word,alligator,alligator_2.wav,yes,yes,634.467422962,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,10,donkey:nonvisual:yes:2,nonvisual,Is it like a horse?,donkey,donkey_2.wav,mask,prompt,,,yes,yes,313.647262752,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,11,,,----------,penguin,penguin_2.wav,mask,word,bottle,bottle_3.wav,no,no,854.651276255,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,12,deer:visual:yes:1,visual,Does it have antlers?,deer,deer_3.wav,mask,prompt,,,yes,yes,961.265904829,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,13,mouse:nonvisual:yes:4,nonvisual,Is it used in experiments?,mouse,mouse_4.wav,nomask,prompt,,,yes,yes,382.486785995,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,14,alligator:nonvisual:yes:3,nonvisual,Does it live in swamps?,alligator,alligator_2.wav,nomask,prompt,,,yes,yes,1102.15481406,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,15,,,----------,donkey,donkey_4.wav,mask,word,donkey,donkey_2.wav,yes,yes,792.786514969,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,16,rabbit:visual:yes:4,visual,Does it have a tail?,rabbit,rabbit_4.wav,nomask,prompt,,,yes,yes,43.1430152385,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,17,chicken:visual:yes:1,visual,Does it have feathers?,chicken,chicken_4.wav,mask,prompt,,,yes,yes,151.67562326,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,18,strawberry:visual:no:2,visual,Does it have a tail?,strawberry,strawberry_1.wav,mask,prompt,,,no,no,876.926661935,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,19,pig:visual:yes:2,visual,Does it have a tail?,pig,pig_1.wav,mask,prompt,,,yes,yes,97.869448713,1
PVW211,211,2015_Dec_03_1530,LL-ELAINE,1,test,20,table:nonvisual:yes:2,nonvisual,Is it found in kitchens?,table,table_1.wav,nomask,prompt,,,yes,yes,157.779100118,1
