subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,word_file,correct_response,response,rt,is_correct
PVW210,210,2015_Dec_03_1530,LL-George,0,practice,0,strawberry:visual:yes:4,visual,Is it small?,strawberry,strawberry_1.wav,nomask,prompt,,,yes,yes,648.810076294,1
PVW210,210,2015_Dec_03_1530,LL-George,0,practice,1,,,----------,pig,pig_1.wav,mask,word,chicken,chicken_3.wav,no,timeout,1250.0,0
PVW210,210,2015_Dec_03_1530,LL-George,0,practice,2,dog:visual:yes:1,visual,Does it have four legs?,dog,dog_3.wav,mask,prompt,,,yes,yes,135.164124658,1
PVW210,210,2015_Dec_03_1530,LL-George,0,practice,3,,,----------,swan,swan_2.wav,nomask,word,swan,swan_1.wav,yes,no,1137.37848692,0
PVW210,210,2015_Dec_03_1530,LL-George,0,practice,4,pig:visual:yes:3,visual,Does it have a snout?,pig,pig_1.wav,nomask,prompt,,,yes,yes,195.624729968,1
PVW210,210,2015_Dec_03_1530,LL-George,0,practice,5,giraffe:nonvisual:yes:3,nonvisual,Does it live in zoos?,giraffe,giraffe_4.wav,nomask,prompt,,,yes,yes,187.316550058,1
PVW210,210,2015_Dec_03_1530,LL-George,0,practice,6,deer:visual:yes:3,visual,Does it have eyes?,deer,deer_2.wav,mask,prompt,,,yes,yes,92.7052157931,1
PVW210,210,2015_Dec_03_1530,LL-George,0,practice,7,,,----------,giraffe,giraffe_3.wav,nomask,word,giraffe,giraffe_4.wav,yes,yes,975.714674452,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,9,tiger:nonvisual:no:5,nonvisual,Is it used for relaxing?,tiger,tiger_3.wav,mask,prompt,,,no,no,23.1595793739,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,10,zebra:nonvisual:yes:2,nonvisual,Does it run fast?,zebra,zebra_2.wav,mask,prompt,,,yes,yes,36.6413265001,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,11,lion:nonvisual:yes:4,nonvisual,Does it live in jungles?,lion,lion_4.wav,nomask,prompt,,,yes,yes,473.502872745,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,12,strawberry:nonvisual:yes:3,nonvisual,Is it used for making jam?,strawberry,strawberry_1.wav,mask,prompt,,,yes,yes,961.7147065,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,13,,,----------,swan,swan_1.wav,nomask,word,swan,swan_2.wav,yes,yes,1099.57748512,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,14,donkey:nonvisual:yes:2,nonvisual,Is it like a horse?,donkey,donkey_4.wav,mask,prompt,,,yes,yes,389.858041308,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,15,table:nonvisual:yes:3,nonvisual,Is it found in dining rooms?,table,table_2.wav,mask,prompt,,,yes,yes,48.703487264,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,16,chicken:visual:yes:1,visual,Does it have feathers?,chicken,chicken_3.wav,mask,prompt,,,yes,yes,631.845782045,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,17,pineapple:nonvisual:yes:1,nonvisual,Is it juicy?,pineapple,pineapple_4.wav,nomask,prompt,,,yes,yes,69.7031192249,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,18,alligator:visual:yes:2,visual,Is it long?,alligator,alligator_4.wav,mask,prompt,,,yes,yes,528.232959332,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,19,donkey:nonvisual:yes:3,nonvisual,Is it a mammal?,donkey,donkey_3.wav,mask,prompt,,,yes,yes,48.4919098672,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,20,swan:visual:yes:1,visual,Does it have a long neck?,swan,swan_4.wav,nomask,prompt,,,yes,yes,362.746987143,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,21,chair:visual:yes:2,visual,Is it made of wood?,chair,chair_4.wav,nomask,prompt,,,yes,yes,342.564857681,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,22,chicken:nonvisual:yes:2,nonvisual,Does it live on a farm?,chicken,chicken_3.wav,nomask,prompt,,,yes,yes,370.41915406,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,23,,,----------,lion,lion_4.wav,nomask,word,lion,lion_2.wav,yes,yes,930.356096826,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,24,apple:visual:no:5,visual,Does it have eyes?,apple,apple_2.wav,mask,prompt,,,no,no,123.549445416,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,25,chicken:visual:yes:3,visual,Does it have a beak?,chicken,chicken_2.wav,nomask,prompt,,,yes,yes,324.415280949,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,26,table:nonvisual:no:1,nonvisual,Is it an animal?,table,table_1.wav,mask,prompt,,,no,no,14.575484558,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,27,bottle:nonvisual:yes:5,nonvisual,Is it used for holding beer?,bottle,bottle_1.wav,nomask,prompt,,,yes,yes,349.436486722,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,28,mouse:nonvisual:yes:5,nonvisual,Does it eat cheese?,mouse,mouse_1.wav,mask,prompt,,,yes,yes,384.308051784,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,29,raccoon:visual:yes:3,visual,Does it have eyes?,raccoon,raccoon_2.wav,nomask,prompt,,,yes,yes,593.927628244,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,30,,,----------,deer,deer_4.wav,nomask,word,deer,deer_1.wav,yes,yes,1021.37221326,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,31,apple:nonvisual:yes:4,nonvisual,Is it nutritious?,apple,apple_3.wav,mask,prompt,,,yes,yes,366.175759817,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,32,rabbit:visual:no:2,visual,Is it made of metal?,rabbit,rabbit_2.wav,mask,prompt,,,no,no,379.825552576,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,33,pineapple:visual:yes:2,visual,Does it have an inside?,pineapple,pineapple_1.wav,nomask,prompt,,,yes,yes,785.694028833,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,34,grasshopper:nonvisual:yes:1,nonvisual,Is it an insect?,grasshopper,grasshopper_2.wav,nomask,prompt,,,yes,yes,456.629483262,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,35,,,----------,penguin,penguin_3.wav,nomask,word,pig,pig_2.wav,no,no,1025.78589378,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,36,donkey:nonvisual:yes:1,nonvisual,Is it an animal?,donkey,donkey_3.wav,mask,prompt,,,yes,yes,333.684682264,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,37,,,----------,dog,dog_2.wav,nomask,word,dog,dog_3.wav,yes,yes,1236.54466018,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,38,,,----------,rabbit,rabbit_1.wav,nomask,word,rabbit,rabbit_2.wav,yes,yes,1138.78783025,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,39,deer:nonvisual:no:3,nonvisual,Is it loud?,deer,deer_3.wav,nomask,prompt,,,no,no,1177.97448917,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,40,apple:nonvisual:yes:2,nonvisual,Does it grow on trees?,apple,apple_1.wav,mask,prompt,,,yes,yes,346.636045026,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,41,alligator:visual:yes:3,visual,Does it have scales?,alligator,alligator_3.wav,nomask,prompt,,,yes,yes,307.176992181,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,42,,,----------,tiger,tiger_3.wav,nomask,word,tiger,tiger_1.wav,yes,timeout,1250.0,0
PVW210,210,2015_Dec_03_1530,LL-George,1,test,43,elephant:visual:yes:4,visual,Does it have a tail?,elephant,elephant_3.wav,mask,prompt,,,yes,yes,292.403693777,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,44,dog:nonvisual:no:2,nonvisual,Is it eaten in pies?,dog,dog_1.wav,nomask,prompt,,,no,no,306.49328616,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,45,,,----------,penguin,penguin_3.wav,mask,word,raccoon,raccoon_1.wav,no,no,769.466574886,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,46,raccoon:visual:yes:4,visual,Does it have stripes?,raccoon,raccoon_4.wav,mask,prompt,,,yes,no,556.747915456,0
PVW210,210,2015_Dec_03_1530,LL-George,1,test,47,elephant:nonvisual:yes:5,nonvisual,Does it eat peanuts?,elephant,elephant_4.wav,mask,prompt,,,yes,yes,284.217787208,1
PVW210,210,2015_Dec_03_1530,LL-George,1,test,48,giraffe:visual:yes:4,visual,Is it brown?,giraffe,giraffe_1.wav,mask,prompt,,,yes,no,727.770113503,0
PVW210,210,2015_Dec_03_1530,LL-George,1,test,49,,,----------,alligator,alligator_1.wav,mask,word,alligator,alligator_3.wav,yes,yes,894.646863919,1
