subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,correct_response,response,rt,is_correct
PVW106,106,2015_Dec_01_1507,LL-George,0,practice,0,mouse:nonvisual:no:1,nonvisual,Is it a fruit?,mouse,mouse_4.wav,mask,word,lion,no,no,468.630827614,1
PVW106,106,2015_Dec_01_1507,LL-George,0,practice,1,grasshopper:visual:yes:2,visual,Does it have legs?,grasshopper,grasshopper_1.wav,nomask,prompt,,yes,yes,1101.68749897,1
PVW106,106,2015_Dec_01_1507,LL-George,0,practice,2,swan:visual:yes:1,visual,Does it have a long neck?,swan,swan_1.wav,nomask,word,swan,yes,yes,180.396587937,1
PVW106,106,2015_Dec_01_1507,LL-George,0,practice,3,chicken:nonvisual:yes:1,nonvisual,Does it lay eggs?,chicken,chicken_2.wav,nomask,prompt,,yes,no,42.6032680552,0
PVW106,106,2015_Dec_01_1507,LL-George,0,practice,4,dog:visual:yes:2,visual,Does it have legs?,dog,dog_4.wav,mask,prompt,,yes,yes,413.074276177,1
PVW106,106,2015_Dec_01_1507,LL-George,0,practice,5,pig:visual:yes:2,visual,Does it have a tail?,pig,giraffe_3.wav,mask,prompt,,yes,no,732.335835346,0
PVW106,106,2015_Dec_01_1507,LL-George,0,practice,6,pig:visual:yes:5,visual,Is it muddy?,pig,pig_2.wav,mask,prompt,,yes,timeout,1250.0,0
PVW106,106,2015_Dec_01_1507,LL-George,0,practice,7,pig:nonvisual:no:2,nonvisual,Is it a bird?,pig,pig_3.wav,mask,prompt,,no,no,106.971816393,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,9,strawberry:visual:yes:3,visual,Does it have green leaves?,strawberry,pig_2.wav,mask,word,strawberry,yes,no,135.930733173,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,10,bottle:nonvisual:no:3,nonvisual,Is it a carnivore?,bottle,bottle_4.wav,nomask,word,elephant,no,timeout,1250.0,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,11,tiger:visual:yes:2,visual,Does it have teeth?,tiger,tiger_2.wav,mask,prompt,,yes,yes,453.16742151,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,12,camel:visual:yes:1,visual,Does it have a hump?,camel,camel_4.wav,nomask,prompt,,yes,yes,420.337051735,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,13,chicken:visual:no:4,visual,Does it have four legs?,chicken,chicken_3.wav,nomask,word,penguin,no,yes,700.885680853,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,14,penguin:visual:yes:3,visual,Does it have feet?,penguin,penguin_1.wav,mask,prompt,,yes,yes,314.013411757,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,15,pig:nonvisual:yes:5,nonvisual,Does it like mud?,pig,pig_1.wav,mask,prompt,,yes,yes,44.9671110837,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,16,giraffe:visual:yes:2,visual,Is it tall?,giraffe,giraffe_3.wav,mask,word,giraffe,yes,yes,650.785653736,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,17,penguin:nonvisual:yes:4,nonvisual,Does it lay eggs?,penguin,table_1.wav,mask,prompt,,yes,no,72.338716127,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,18,chair:visual:no:5,visual,Does it have a tail?,chair,chair_4.wav,nomask,prompt,,no,no,175.784773426,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,19,rabbit:visual:yes:4,visual,Does it have a tail?,rabbit,rabbit_1.wav,nomask,word,rabbit,yes,no,335.785733769,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,20,elephant:visual:yes:5,visual,Does it have large ears?,elephant,elephant_1.wav,mask,prompt,,yes,timeout,1250.0,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,21,pineapple:visual:yes:4,visual,Is it yellow inside?,pineapple,pineapple_4.wav,nomask,prompt,,yes,timeout,1250.0,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,22,table:nonvisual:yes:4,nonvisual,Is it furniture?,table,table_1.wav,nomask,prompt,,yes,yes,738.770225435,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,23,bottle:nonvisual:yes:1,nonvisual,Is it used for holding things?,bottle,bottle_4.wav,mask,prompt,,yes,no,490.298481192,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,24,donkey:nonvisual:yes:2,nonvisual,Is it like a horse?,donkey,swan_3.wav,nomask,prompt,,yes,no,262.570619234,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,25,alligator:visual:yes:4,visual,Does it have a tail?,alligator,pig_2.wav,nomask,prompt,,yes,yes,494.066546089,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,26,deer:nonvisual:yes:2,nonvisual,Is it fast?,deer,bottle_4.wav,mask,word,deer,yes,yes,966.929884977,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,27,camel:nonvisual:yes:6,nonvisual,Does it eat?,camel,deer_2.wav,mask,word,camel,yes,timeout,1250.0,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,28,mouse:visual:yes:2,visual,Is it grey?,mouse,zebra_3.wav,mask,prompt,,yes,no,711.45847661,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,29,chicken:nonvisual:yes:5,nonvisual,Does it live in a coop?,chicken,raccoon_3.wav,mask,prompt,,yes,no,429.345261888,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,30,chair:visual:yes:4,visual,Does it have a seat?,chair,giraffe_2.wav,nomask,prompt,,yes,no,553.877054597,0
PVW106,106,2015_Dec_01_1507,LL-George,1,test,31,tiger:nonvisual:yes:2,nonvisual,Is it an animal?,tiger,tiger_1.wav,nomask,word,tiger,yes,yes,126.772722229,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,32,swan:visual:no:4,visual,Is it made of wood?,swan,swan_1.wav,mask,prompt,,no,no,74.1382456617,1
PVW106,106,2015_Dec_01_1507,LL-George,1,test,33,dog:nonvisual:no:1,nonvisual,Does it hop?,dog,dog_4.wav,nomask,word,rabbit,no,no,555.484851822,1
