subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,correct_response,response,rt,is_correct
PVW108,108,2015_Dec_01_1508,LL-Jerry,0,practice,0,raccoon:visual:no:6,visual,Is it black?,raccoon,raccoon_2.wav,mask,word,elephant,no,yes,688.379276544,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,0,practice,1,rabbit:visual:yes:1,visual,Does it have ears?,rabbit,swan_3.wav,mask,word,rabbit,yes,no,227.955994429,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,0,practice,2,mouse:visual:yes:1,visual,Does it have a tail?,mouse,mouse_1.wav,nomask,prompt,,yes,yes,500.107548898,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,0,practice,3,giraffe:nonvisual:yes:4,nonvisual,Is it a mammal?,giraffe,giraffe_2.wav,nomask,word,giraffe,yes,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,0,practice,4,lion:visual:yes:3,visual,Does it have a tail?,lion,raccoon_2.wav,nomask,prompt,,yes,yes,345.789588289,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,0,practice,5,camel:visual:yes:3,visual,Does it have legs?,camel,chair_3.wav,mask,prompt,,yes,yes,600.330969086,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,0,practice,6,tiger:visual:no:1,visual,Is it black?,tiger,tiger_4.wav,nomask,prompt,,no,no,502.527719364,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,0,practice,7,swan:nonvisual:yes:2,nonvisual,Is it a bird?,swan,swan_4.wav,mask,word,swan,yes,yes,54.8153743148,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,9,chicken:nonvisual:yes:4,nonvisual,Is it eaten by frying?,chicken,grasshopper_4.wav,mask,prompt,,yes,no,726.943882648,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,10,giraffe:visual:yes:4,visual,Is it brown?,giraffe,giraffe_2.wav,mask,prompt,,yes,no,703.652181895,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,11,deer:visual:no:1,visual,Is it yellow?,deer,deer_3.wav,nomask,prompt,,no,no,407.855871599,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,12,chair:nonvisual:yes:5,nonvisual,Is it found at tables?,chair,chair_2.wav,mask,prompt,,yes,yes,202.45538,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,13,apple:visual:yes:5,visual,Does it have a core?,apple,table_2.wav,mask,prompt,,yes,no,364.328651689,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,14,strawberry:nonvisual:no:2,nonvisual,Is it an insect?,strawberry,strawberry_3.wav,nomask,prompt,,no,no,360.83491263,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,15,table:nonvisual:yes:1,nonvisual,Is it used for eating on?,table,table_3.wav,mask,prompt,,yes,yes,20.0905203819,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,16,dog:visual:yes:6,visual,Does it have a top?,dog,dog_4.wav,nomask,prompt,,yes,no,622.944407398,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,17,table:nonvisual:yes:3,nonvisual,Is it found in dining rooms?,table,table_4.wav,nomask,word,table,yes,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,18,dog:nonvisual:yes:4,nonvisual,Is it used for protection?,dog,dog_4.wav,nomask,prompt,,yes,yes,327.333107125,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,19,grasshopper:visual:yes:4,visual,Does it have antennae?,grasshopper,grasshopper_2.wav,nomask,prompt,,yes,yes,240.555541124,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,20,pig:visual:yes:1,visual,Is it pink?,pig,pig_1.wav,nomask,word,pig,yes,yes,294.442986371,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,21,raccoon:visual:yes:5,visual,Does it have a mask?,raccoon,raccoon_3.wav,mask,prompt,,yes,yes,228.688671486,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,22,chair:nonvisual:yes:3,nonvisual,Is it comfortable?,chair,chair_3.wav,nomask,prompt,,yes,no,215.901234187,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,23,alligator:visual:no:2,visual,Is it grey?,alligator,alligator_3.wav,mask,word,giraffe,no,no,397.457556566,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,24,apple:nonvisual:yes:5,nonvisual,Is it used for cider?,apple,apple_4.wav,mask,prompt,,yes,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,25,penguin:visual:yes:3,visual,Does it have feet?,penguin,penguin_3.wav,nomask,word,penguin,yes,yes,44.4541892502,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,26,deer:visual:no:4,visual,Does it have a cushion?,deer,deer_2.wav,nomask,prompt,,no,no,395.757259568,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,27,mouse:nonvisual:yes:5,nonvisual,Does it eat cheese?,mouse,penguin_3.wav,nomask,prompt,,yes,no,295.627624728,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,28,dog:visual:yes:3,visual,Does it have a tail?,dog,dog_2.wav,mask,prompt,,yes,yes,112.196238246,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,29,tiger:visual:yes:5,visual,Does it have large teeth?,tiger,tiger_3.wav,mask,prompt,,yes,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,30,elephant:visual:yes:1,visual,Is it grey?,elephant,elephant_4.wav,nomask,prompt,,yes,yes,81.5659249201,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,31,zebra:visual:no:1,visual,Is it red?,zebra,zebra_3.wav,nomask,prompt,,no,no,198.82720476,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,32,camel:visual:yes:2,visual,Is it brown?,camel,camel_1.wav,mask,prompt,,yes,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,33,grasshopper:visual:yes:1,visual,Is it green?,grasshopper,grasshopper_2.wav,mask,word,grasshopper,yes,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,34,pineapple:visual:yes:5,visual,Does it have a core?,pineapple,pineapple_4.wav,nomask,prompt,,yes,yes,110.355743673,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,35,donkey:nonvisual:yes:4,nonvisual,Is it furry?,donkey,donkey_1.wav,nomask,prompt,,yes,yes,383.60615354,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,36,chair:visual:yes:3,visual,Does it have armrests?,chair,chair_4.wav,nomask,prompt,,yes,yes,706.50638896,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,37,table:nonvisual:no:4,nonvisual,Does it grow in Hawaii?,table,table_3.wav,mask,prompt,,no,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,38,chicken:visual:yes:2,visual,Does it have wings?,chicken,giraffe_2.wav,mask,prompt,,yes,no,302.577332826,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,39,donkey:visual:yes:3,visual,Does it have a tail?,donkey,pig_3.wav,nomask,word,donkey,yes,no,662.461909698,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,40,zebra:visual:yes:3,visual,Does it have hooves?,zebra,zebra_2.wav,nomask,prompt,,yes,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,41,giraffe:nonvisual:yes:1,nonvisual,Does it eat leaves?,giraffe,giraffe_3.wav,nomask,prompt,,yes,yes,778.15284743,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,42,deer:nonvisual:yes:1,nonvisual,Is it hunted by people?,deer,deer_3.wav,nomask,prompt,,yes,yes,191.332390066,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,43,alligator:visual:yes:4,visual,Does it have a tail?,alligator,alligator_1.wav,mask,word,alligator,yes,no,155.54068936,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,44,mouse:nonvisual:no:1,nonvisual,Is it a fruit?,mouse,mouse_3.wav,mask,word,camel,no,yes,926.774556981,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,45,penguin:visual:yes:4,visual,Does it have wings?,penguin,table_2.wav,mask,prompt,,yes,no,83.3241576329,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,46,alligator:visual:no:5,visual,Is it made of metal?,alligator,alligator_1.wav,nomask,prompt,,no,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,47,swan:visual:yes:1,visual,Does it have a long neck?,swan,swan_2.wav,mask,prompt,,yes,timeout,1250.0,0
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,48,pineapple:nonvisual:yes:4,nonvisual,Does it grow in Hawaii?,pineapple,pineapple_3.wav,mask,prompt,,yes,yes,12.6498001628,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,49,zebra:visual:yes:2,visual,Does it have four legs?,zebra,zebra_1.wav,mask,prompt,,yes,yes,540.444471641,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,50,pig:nonvisual:yes:3,nonvisual,Is it eaten as bacon?,pig,pig_4.wav,nomask,prompt,,yes,yes,152.585334843,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,51,strawberry:visual:no:2,visual,Does it have a tail?,strawberry,strawberry_3.wav,nomask,prompt,,no,no,173.523443053,1
PVW108,108,2015_Dec_01_1508,LL-Jerry,1,test,52,tiger:nonvisual:yes:4,nonvisual,Does it live in zoos?,tiger,tiger_4.wav,mask,word,tiger,yes,timeout,1250.0,0
