subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,correct_response,response,rt,is_correct
PVW104,104,2015_Dec_01_1422,LL-Jerry,0,practice,0,deer:nonvisual:no:1,nonvisual,Does it live in zoos?,deer,deer_2.wav,mask,prompt,,no,timeout,1250.0,0
PVW104,104,2015_Dec_01_1422,LL-Jerry,0,practice,1,alligator:visual:no:4,visual,Is it small?,alligator,alligator_3.wav,mask,prompt,,no,no,78.9069700986,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,0,practice,2,pineapple:nonvisual:no:3,nonvisual,Is it a carnivore?,pineapple,pineapple_2.wav,mask,prompt,,no,timeout,1250.0,0
PVW104,104,2015_Dec_01_1422,LL-Jerry,0,practice,3,pineapple:nonvisual:yes:1,nonvisual,Is it juicy?,pineapple,pineapple_1.wav,mask,prompt,,yes,yes,65.97869494,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,0,practice,4,swan:visual:yes:2,visual,Does it have a beak?,swan,penguin_2.wav,mask,prompt,,yes,no,192.503264872,0
PVW104,104,2015_Dec_01_1422,LL-Jerry,0,practice,5,strawberry:nonvisual:yes:2,nonvisual,Does it taste sweet?,strawberry,strawberry_3.wav,nomask,word,strawberry,yes,yes,67.4258039799,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,0,practice,6,chicken:visual:yes:2,visual,Does it have wings?,chicken,chicken_1.wav,nomask,prompt,,yes,yes,262.619392248,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,0,practice,7,donkey:nonvisual:yes:2,nonvisual,Is it like a horse?,donkey,donkey_2.wav,nomask,prompt,,yes,no,292.518309085,0
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,9,rabbit:visual:yes:2,visual,Does it have feet?,rabbit,rabbit_1.wav,nomask,prompt,,yes,yes,610.292686848,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,10,deer:visual:yes:2,visual,Does it have four legs?,deer,deer_4.wav,mask,word,deer,yes,yes,518.397585256,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,11,alligator:nonvisual:yes:5,nonvisual,Does it eat people?,alligator,alligator_2.wav,nomask,prompt,,yes,yes,191.727696452,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,12,table:nonvisual:yes:3,nonvisual,Is it found in dining rooms?,table,table_3.wav,mask,word,table,yes,yes,168.994545704,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,13,camel:visual:yes:1,visual,Does it have a hump?,camel,penguin_1.wav,nomask,word,camel,yes,no,323.129417142,0
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,14,deer:visual:no:1,visual,Is it yellow?,deer,deer_3.wav,nomask,prompt,,no,yes,618.739757221,0
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,15,chair:visual:no:5,visual,Does it have a tail?,chair,chair_1.wav,mask,word,donkey,no,no,332.633411977,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,16,donkey:visual:yes:1,visual,Does it have legs?,donkey,donkey_4.wav,mask,prompt,,yes,yes,437.531368574,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,17,strawberry:visual:no:4,visual,Does it have ears?,strawberry,strawberry_4.wav,mask,prompt,,no,no,637.41101604,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,18,pig:visual:no:4,visual,Does it have feathers?,pig,pig_3.wav,mask,prompt,,no,no,1088.28004962,1
PVW104,104,2015_Dec_01_1422,LL-Jerry,1,test,19,penguin:visual:no:3,visual,Does it have four legs?,penguin,penguin_1.wav,nomask,prompt,,no,no,1189.60008444,1
