subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,correct_response,response,rt,is_correct
PVW109,109,2015_Dec_02_1405,LL-Kramer,0,practice,0,bottle:visual:yes:2,visual,Is it made of plastic?,bottle,bottle_2.wav,nomask,prompt,,yes,yes,225.797097199,1
PVW109,109,2015_Dec_02_1405,LL-Kramer,0,practice,1,lion:visual:yes:1,visual,Does it have a mane?,lion,pineapple_4.wav,nomask,prompt,,yes,timeout,1250.0,0
PVW109,109,2015_Dec_02_1405,LL-Kramer,0,practice,2,swan:nonvisual:yes:2,nonvisual,Is it a bird?,swan,swan_3.wav,mask,prompt,,yes,yes,242.820926942,1
PVW109,109,2015_Dec_02_1405,LL-Kramer,0,practice,3,alligator:nonvisual:yes:2,nonvisual,Is it a reptile?,alligator,alligator_2.wav,nomask,word,alligator,yes,yes,86.9548516348,1
PVW109,109,2015_Dec_02_1405,LL-Kramer,0,practice,4,alligator:nonvisual:yes:4,nonvisual,Does it live in water?,alligator,alligator_2.wav,nomask,prompt,,yes,timeout,1250.0,0
PVW109,109,2015_Dec_02_1405,LL-Kramer,0,practice,5,pineapple:visual:yes:5,visual,Does it have a core?,pineapple,pineapple_2.wav,mask,prompt,,yes,timeout,1250.0,0
PVW109,109,2015_Dec_02_1405,LL-Kramer,0,practice,6,tiger:nonvisual:yes:1,nonvisual,Is it a carnivore?,tiger,table_1.wav,mask,prompt,,yes,no,72.3796868697,0
PVW109,109,2015_Dec_02_1405,LL-Kramer,0,practice,7,lion:nonvisual:no:2,nonvisual,Does it eat cheese?,lion,lion_2.wav,nomask,prompt,,no,timeout,1250.0,0
PVW109,109,2015_Dec_02_1405,LL-Kramer,1,test,9,deer:nonvisual:yes:5,nonvisual,Is it timid?,deer,deer_3.wav,mask,prompt,,yes,timeout,1250.0,0
PVW109,109,2015_Dec_02_1405,LL-Kramer,1,test,10,lion:visual:yes:4,visual,Does it have teeth?,lion,lion_3.wav,mask,word,lion,yes,yes,255.422115326,1
PVW109,109,2015_Dec_02_1405,LL-Kramer,1,test,11,chair:visual:no:1,visual,Is it long?,chair,chair_4.wav,nomask,prompt,,no,no,935.599123128,1
PVW109,109,2015_Dec_02_1405,LL-Kramer,1,test,12,dog:visual:yes:4,visual,Does it have hair?,dog,dog_1.wav,nomask,word,dog,yes,yes,114.146888256,1
PVW109,109,2015_Dec_02_1405,LL-Kramer,1,test,13,chicken:nonvisual:yes:2,nonvisual,Does it live on a farm?,chicken,table_4.wav,mask,prompt,,yes,timeout,1250.0,0
PVW109,109,2015_Dec_02_1405,LL-Kramer,1,test,14,donkey:visual:yes:1,visual,Does it have legs?,donkey,donkey_1.wav,nomask,word,donkey,yes,yes,1172.89726809,1
