subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,word_file,correct_response,response,rt,is_correct
PVW307,307,2015_Dec_08_1631,LL-Jerry,0,practice,0,,,----------,giraffe,giraffe_1.wav,nomask,word,giraffe,giraffe_2.wav,yes,timeout,2000.0,0
PVW307,307,2015_Dec_08_1631,LL-Jerry,0,practice,1,chicken:nonvisual:yes:3,nonvisual,Does it eat grain?,chicken,chicken_2.wav,mask,prompt,,,yes,yes,1085.83235182,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,0,practice,2,rabbit:nonvisual:yes:1,nonvisual,Does it hop?,rabbit,rabbit_3.wav,mask,prompt,,,yes,timeout,2000.0,0
PVW307,307,2015_Dec_08_1631,LL-Jerry,0,practice,3,,,----------,elephant,elephant_4.wav,nomask,word,elephant,elephant_3.wav,yes,yes,858.639121987,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,0,practice,4,chicken:visual:yes:1,visual,Does it have feathers?,chicken,chicken_4.wav,nomask,prompt,,,yes,yes,546.831148211,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,0,practice,5,pineapple:visual:no:2,visual,Does it have a seat?,pineapple,pineapple_2.wav,mask,prompt,,,no,timeout,2000.0,0
PVW307,307,2015_Dec_08_1631,LL-Jerry,0,practice,6,,,----------,grasshopper,grasshopper_3.wav,mask,word,donkey,donkey_1.wav,no,no,948.887060862,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,0,practice,7,,,----------,rabbit,rabbit_1.wav,nomask,word,rabbit,rabbit_2.wav,yes,yes,698.079483584,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,9,pineapple:nonvisual:yes:1,nonvisual,Is it juicy?,pineapple,pineapple_4.wav,nomask,prompt,,,yes,yes,584.941232577,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,10,chair:nonvisual:yes:4,nonvisual,Is it used for relaxing?,chair,chair_4.wav,nomask,prompt,,,yes,yes,263.831878081,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,11,alligator:nonvisual:yes:6,nonvisual,Is it found in summer?,alligator,alligator_1.wav,nomask,prompt,,,yes,yes,1374.04454313,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,12,zebra:nonvisual:yes:1,nonvisual,Is it an animal?,zebra,zebra_1.wav,nomask,prompt,,,yes,yes,27.6135024615,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,13,rabbit:visual:yes:1,visual,Does it have ears?,rabbit,rabbit_1.wav,mask,prompt,,,yes,timeout,2000.0,0
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,14,apple:nonvisual:yes:4,nonvisual,Is it nutritious?,apple,apple_2.wav,mask,prompt,,,yes,yes,1296.95886234,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,15,table:nonvisual:yes:4,nonvisual,Is it furniture?,table,table_2.wav,mask,prompt,,,yes,yes,171.881721821,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,16,elephant:nonvisual:yes:5,nonvisual,Does it eat peanuts?,elephant,elephant_1.wav,mask,prompt,,,yes,yes,83.7825210765,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,17,tiger:visual:yes:4,visual,Does it have whiskers?,tiger,tiger_2.wav,nomask,prompt,,,yes,yes,54.7007834539,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,18,chicken:nonvisual:no:3,nonvisual,Is it used for making jam?,chicken,chicken_2.wav,nomask,prompt,,,no,no,133.82541202,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,19,elephant:nonvisual:yes:3,nonvisual,Does it live in zoos?,elephant,elephant_1.wav,nomask,prompt,,,yes,yes,190.817371942,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,20,swan:visual:no:1,visual,Does it have a hump?,swan,swan_4.wav,mask,prompt,,,no,no,63.3722348139,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,21,alligator:nonvisual:yes:4,nonvisual,Does it live in water?,alligator,alligator_3.wav,mask,prompt,,,yes,yes,87.2829817235,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,22,table:nonvisual:yes:2,nonvisual,Is it found in kitchens?,table,table_3.wav,mask,prompt,,,yes,yes,105.871337932,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,23,dog:visual:yes:5,visual,Does it have a nose?,dog,dog_2.wav,mask,prompt,,,yes,no,230.404332746,0
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,24,swan:nonvisual:yes:3,nonvisual,Does it live on water?,swan,swan_2.wav,nomask,prompt,,,yes,yes,273.297142237,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,25,mouse:visual:yes:3,visual,Does it have fur?,mouse,mouse_4.wav,mask,prompt,,,yes,yes,125.54702675,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,26,pig:visual:no:4,visual,Does it have feathers?,pig,pig_4.wav,mask,prompt,,,no,no,294.45610987,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,27,table:visual:yes:4,visual,Is it flat?,table,table_4.wav,mask,prompt,,,yes,yes,88.0227005109,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,28,chicken:visual:yes:2,visual,Does it have wings?,chicken,chicken_1.wav,nomask,prompt,,,yes,yes,199.242676608,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,29,mouse:nonvisual:yes:2,nonvisual,Is it an animal?,mouse,mouse_2.wav,mask,prompt,,,yes,yes,107.145280577,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,30,table:visual:no:2,visual,Does it have a nose?,table,table_4.wav,nomask,prompt,,,no,no,99.9929578975,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,31,chicken:nonvisual:yes:4,nonvisual,Is it eaten by frying?,chicken,chicken_1.wav,nomask,prompt,,,yes,yes,74.6235791594,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,32,pineapple:visual:no:4,visual,Does it have legs?,pineapple,pineapple_4.wav,nomask,prompt,,,no,no,234.869212843,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,33,pig:visual:yes:2,visual,Does it have a tail?,pig,pig_3.wav,mask,prompt,,,yes,yes,66.0808025859,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,34,zebra:nonvisual:no:4,nonvisual,Does it live in water?,zebra,zebra_1.wav,nomask,prompt,,,no,no,227.940950543,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,35,apple:nonvisual:yes:5,nonvisual,Is it used for cider?,apple,apple_1.wav,mask,prompt,,,yes,yes,95.2118332498,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,36,chair:visual:yes:3,visual,Does it have armrests?,chair,chair_2.wav,mask,prompt,,,yes,yes,26.4682346024,1
PVW307,307,2015_Dec_08_1631,LL-Jerry,1,test,37,pig:visual:yes:1,visual,Is it pink?,pig,pig_3.wav,mask,prompt,,,yes,yes,50.0371302478,1
