subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,word_file,correct_response,response,rt,is_correct
PVW301a,301,2015_Dec_08_1602,LL-Kramer,0,practice,0,,,----------,pig,pig_3.wav,mask,word,mouse,mouse_2.wav,no,timeout,2000.0,0
PVW301a,301,2015_Dec_08_1602,LL-Kramer,0,practice,1,strawberry:nonvisual:yes:3,nonvisual,Is it used for making jam?,strawberry,strawberry_2.wav,mask,prompt,,,yes,yes,291.926444508,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,0,practice,2,grasshopper:nonvisual:yes:3,nonvisual,Is it found in summer?,grasshopper,grasshopper_1.wav,mask,prompt,,,yes,yes,241.438471712,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,0,practice,3,raccoon:nonvisual:yes:4,nonvisual,Does it produce offspring?,raccoon,raccoon_3.wav,mask,prompt,,,yes,yes,198.279852048,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,0,practice,4,dog:visual:yes:6,visual,Does it have a top?,dog,dog_2.wav,nomask,prompt,,,yes,no,310.878798366,0
PVW301a,301,2015_Dec_08_1602,LL-Kramer,0,practice,5,giraffe:nonvisual:yes:2,nonvisual,Does it live in Africa?,giraffe,giraffe_3.wav,nomask,prompt,,,yes,yes,230.720356107,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,0,practice,6,chicken:visual:no:4,visual,Does it have four legs?,chicken,chicken_2.wav,mask,prompt,,,no,yes,207.15458598,0
PVW301a,301,2015_Dec_08_1602,LL-Kramer,0,practice,7,chicken:visual:yes:1,visual,Does it have feathers?,chicken,chicken_4.wav,mask,prompt,,,yes,yes,744.985355996,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,9,penguin:visual:no:3,visual,Does it have four legs?,penguin,penguin_2.wav,nomask,prompt,,,no,no,696.279628202,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,10,camel:visual:yes:2,visual,Is it brown?,camel,camel_2.wav,nomask,prompt,,,yes,yes,578.465501778,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,11,alligator:visual:yes:4,visual,Does it have a tail?,alligator,alligator_1.wav,mask,prompt,,,yes,yes,1372.97792919,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,12,dog:visual:yes:2,visual,Does it have legs?,dog,dog_3.wav,mask,prompt,,,yes,yes,317.545251921,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,13,lion:nonvisual:yes:3,nonvisual,Is it a mammal?,lion,lion_3.wav,nomask,prompt,,,yes,yes,487.412896939,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,14,bottle:nonvisual:yes:2,nonvisual,Is it used for holding liquids?,bottle,bottle_3.wav,mask,prompt,,,yes,yes,225.903045386,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,15,donkey:visual:no:4,visual,Is it small?,donkey,donkey_1.wav,mask,prompt,,,no,no,618.71933192,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,16,alligator:nonvisual:yes:6,nonvisual,Is it found in summer?,alligator,alligator_3.wav,mask,prompt,,,yes,yes,620.455164462,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,17,apple:visual:no:3,visual,Does it have a beak?,apple,apple_1.wav,nomask,prompt,,,no,no,423.855448142,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,18,elephant:nonvisual:yes:3,nonvisual,Does it live in zoos?,elephant,elephant_3.wav,mask,prompt,,,yes,yes,342.630155385,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,19,chair:visual:yes:2,visual,Is it made of wood?,chair,chair_1.wav,mask,prompt,,,yes,yes,647.515323944,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,20,raccoon:nonvisual:no:1,nonvisual,Does it hop?,raccoon,raccoon_4.wav,mask,prompt,,,no,no,531.381655484,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,21,pineapple:nonvisual:yes:5,nonvisual,Is it prickly?,pineapple,pineapple_4.wav,nomask,prompt,,,yes,yes,609.236752614,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,22,chicken:nonvisual:yes:1,nonvisual,Does it lay eggs?,chicken,chicken_2.wav,mask,prompt,,,yes,yes,194.715362974,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,23,donkey:nonvisual:yes:5,nonvisual,Does it make noises?,donkey,donkey_4.wav,nomask,prompt,,,yes,yes,333.3780393,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,24,strawberry:visual:yes:2,visual,Does it have seeds?,strawberry,strawberry_3.wav,mask,prompt,,,yes,yes,343.345870264,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,25,zebra:visual:yes:3,visual,Does it have hooves?,zebra,zebra_4.wav,mask,prompt,,,yes,yes,589.476817288,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,26,chair:nonvisual:yes:6,nonvisual,Is it used in circuses?,chair,chair_3.wav,nomask,prompt,,,yes,yes,399.172254838,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,27,deer:nonvisual:yes:3,nonvisual,Is it a mammal?,deer,deer_4.wav,nomask,prompt,,,yes,yes,726.354368031,1
PVW301a,301,2015_Dec_08_1602,LL-Kramer,1,test,28,raccoon:nonvisual:yes:2,nonvisual,Is it furry?,raccoon,raccoon_2.wav,mask,prompt,,,yes,no,374.869003892,0
