subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,word_file,correct_response,response,rt,is_correct
PVW202,202,2015_Dec_03_1217,LL-George,0,practice,0,,,----------,tiger,tiger_4.wav,mask,word,pineapple,pineapple_3.wav,no,timeout,1250.0,0
PVW202,202,2015_Dec_03_1217,LL-George,0,practice,1,deer:visual:yes:3,visual,Does it have eyes?,deer,deer_3.wav,mask,prompt,,,yes,yes,103.584334953,1
PVW202,202,2015_Dec_03_1217,LL-George,0,practice,2,strawberry:nonvisual:no:4,nonvisual,Does it eat?,strawberry,strawberry_3.wav,nomask,prompt,,,no,timeout,1250.0,0
PVW202,202,2015_Dec_03_1217,LL-George,0,practice,3,,,----------,chair,chair_1.wav,mask,word,chair,chair_4.wav,yes,yes,903.945073136,1
PVW202,202,2015_Dec_03_1217,LL-George,0,practice,4,bottle:nonvisual:yes:5,nonvisual,Is it used for holding beer?,bottle,bottle_2.wav,nomask,prompt,,,yes,yes,236.933565815,1
PVW202,202,2015_Dec_03_1217,LL-George,0,practice,5,,,----------,penguin,penguin_3.wav,mask,word,penguin,penguin_2.wav,yes,yes,844.228350092,1
PVW202,202,2015_Dec_03_1217,LL-George,0,practice,6,mouse:nonvisual:no:3,nonvisual,Does it live in zoos?,mouse,mouse_1.wav,nomask,prompt,,,no,no,160.675383755,1
PVW202,202,2015_Dec_03_1217,LL-George,0,practice,7,lion:nonvisual:yes:2,nonvisual,Is it a carnivore?,lion,lion_2.wav,mask,prompt,,,yes,yes,19.8908502935,1
PVW202,202,2015_Dec_03_1217,LL-George,1,test,9,zebra:nonvisual:yes:1,nonvisual,Is it an animal?,zebra,zebra_4.wav,nomask,prompt,,,yes,yes,557.920714491,1
PVW202,202,2015_Dec_03_1217,LL-George,1,test,10,camel:nonvisual:no:1,nonvisual,Is it a bird?,camel,camel_2.wav,nomask,prompt,,,no,no,26.6558903968,1
PVW202,202,2015_Dec_03_1217,LL-George,1,test,11,penguin:nonvisual:yes:4,nonvisual,Does it lay eggs?,penguin,penguin_3.wav,mask,prompt,,,yes,yes,170.350975473,1
PVW202,202,2015_Dec_03_1217,LL-George,1,test,12,elephant:visual:yes:3,visual,Does it have four legs?,elephant,elephant_1.wav,mask,prompt,,,yes,timeout,1250.0,0
PVW202,202,2015_Dec_03_1217,LL-George,1,test,13,bottle:visual:no:5,visual,Does it have teeth?,bottle,bottle_4.wav,mask,prompt,,,no,no,581.679176772,1
PVW202,202,2015_Dec_03_1217,LL-George,1,test,14,apple:visual:yes:4,visual,Is it round?,apple,apple_3.wav,nomask,prompt,,,yes,yes,301.395259448,1
PVW202,202,2015_Dec_03_1217,LL-George,1,test,15,,,----------,pig,pig_1.wav,nomask,word,pig,pig_3.wav,yes,yes,784.504585317,1
PVW202,202,2015_Dec_03_1217,LL-George,1,test,16,zebra:nonvisual:yes:4,nonvisual,Does it travel in herds?,zebra,zebra_1.wav,mask,prompt,,,yes,yes,185.482451227,1
